,Address:,Architects:,Building completed,Demolished,Name of Building:,Notes:,Type of Building:
645,0 Eglinton Avenue East,"Shore Tilbe Irwin & Partners
Teeple Stephen",1912,,Eglinton Public School,Eglinton and Spectrum Alternative Schools.  Integrate the former Eglinton Public School (1912).,Elementary Schools
646,101 Englemount Avenue,"Rieder Hymmen & Lobban Architects
Taylor Hariri Pontarini (firm)",,,Glen Park Public School,,Elementary Schools
647,23 Ferndale Avenue,Pentland & Baker (firm),1961,,Deer Park Jr. and Sr. School,,Elementary Schools
648,55 Gateway Boulevard,"Shore Tilbe Irwin & Partners
Teeple Stephen",c2001,,Gateway Public School,,Elementary Schools
649,285 Indian Road Crescent,,,1965,Western Avenue Public School,demolished in 1965.  SEE ALSO:  Indian Road Crescent Public School at same address.,Elementary Schools
650,285 Indian Road Crescent,,,,Indian Road Cresent Jr PS,,Elementary Schools
651,101 Kippendavie Avenue,,1963,,Kew Beach School no.2,Replaced the first school (built in 1899) in 1962.,Elementary Schools
652,101 Kippendavie Avenue,,1899,1962,Kew Beach School no.1,Replaced by the present school in 1962.,Elementary Schools
653,816 Logan Avenue,Brook Carruthers Shaw (firm),c1981,,Frankland Community Pub Sch,Originally began in 1909 as a two-room portable structure.  First permanent building erected in oct. 1910 and demolished c.1980.  Current building (erected c1981) contains original entrance-way.,Elementary Schools
654,0 Louisa Street,Thomas William,1852,,Louisa Street School,,Elementary Schools
655,0 Orde,,,,Orde Street School,,Elementary Schools
656,0 Park Street,Thomas William,1852,,Park Street School,,Elementary Schools
657,15 Prospect Street,Bishop Charles H.,1898,,Winchester Steet Junior Public School,,Elementary Schools
658,0 Runnymead Road,Denison Arthur,1882,,No.22 York School,West Toronto Junction's first school.  Built on the southwest corner of Elizabeth and Louisa Streets (now Runnymead and St. John's Road),Elementary Schools
659,720 Scarborough Golf Club Rd.,Fairfield & Dubois (firm),1967,,Tecumseh Junior Publ. School,,Elementary Schools
660,0 St. Clair Avenue East,Willmot Mancel,1889,c1961,Deer Park School,SEE ALSO:  Deer Park Jr. & Sr. School at no.23 Ferndale Avenue.,Elementary Schools
661,0 Toronto Island(s),Sane Robbie,,,Toronto Island School,,Elementary Schools
662,106 Trinity Street,,1848,,Enoch Turner School,,Elementary Schools
663,0 Victoria Park Avenue,,,,Victoria Park Forst School,"An outdoor school, consisted of 15 acres situated within Victoria Park.  Operated by the Board of Education from 1912 to 1932.  Closed due to construction of the waterworks.",Elementary Schools
664,121 Byng Avenue,,,,,SEE:  119 Byng Avenue.,Energy Efficient Buildings
665,0 Dundas Street East,,,,Metropolis,Entertainment and retail complex being built at the corner of Dundas and Yonge streets.,Entertainment Buildings
666,0 Exhibition Place,,,,Liberty Grand,SEE:  Ontario Government Building at Exhibition Place.,Entertainment Buildings
667,99 Queen Street East,Markson Jerome,,,Electric Circus,,Entertainment Buildings
668,99 Rathburn Road,"II BY IV Design (firm)
Kuwabara Payne McKenna Blumberg (firm)",1996,,Playdium,Part of the Square One shopping mall.  Contains Segacity.,Entertainment Buildings
669,99 Rathburn Road,"II BY IV Design (firm)
Kuwabara Payne McKenna Blumberg (firm)",,,Segacity,SEE:  Playdium (same address) - part of Square One shopping mall.,Entertainment Buildings
670,0 Bathurst Quay,Kuwabara Payne McKenna Blumberg (firm),,,Metronome,Proposed music museum.  SEE ALSO: under building name: CANADA MALTING.,Exhibition Buildings
671,770 Don Mills Road,"Moriyama & Teshima (firm)
Zeidler Roberts Partnership",c1964,,Ontario Science Centre,,Exhibition Buildings
672,0 Exhibition Place,"Gouinlock George
Gouinlock & Baker (firm)",,,Manufacturers & Industrial Art,,Exhibition Buildings
673,0 Exhibition Place,"Fleming Sanford
Schieber Collingwood
Stewart & Strickland (firm)",1878,fire - 1906,Crystal Palace,"See also:  Palace of Industry on King Street West at Shaw Street (1858-1878).  Most of the Palace's original ironwork were reused for the Crystal Palace, and new sections were copied from it where necessary.",Exhibition Buildings
674,0 Exhibition Place,Fisher Richard,,,Food Products Building,"The 24 metre ""Needle"" or trylon at the building's entrance was dismantled in 1989.",Exhibition Buildings
675,0 Exhibition Place,Gouinlock George,1908,,Music Building,,Exhibition Buildings
676,0 Exhibition Place,Chapman & Oxley (firm),1928,1972,Electrical & Engineering Bldg,A place where manufacturers and distrubutors of electrical equipment displayed their wares to the public.,Exhibition Buildings
677,0 Exhibition Place,Chapman & Oxley (firm),1927,,Ontario Government Building,One time also known as t he Carlsberg Building. Was refurbished as a corporate / entertainment function site now known as the Liberty Grand.,Exhibition Buildings
678,0 Exhibition Place,Marani & Morris (firm),1962,,Better Living Centre,,Exhibition Buildings
679,0 Exhibition Place,"Dunlop Farrow Aitken (firm)
Zeidler Eberhard
Zeidler Roberts Partnership",1997,,National Trade Centre,The complex includes the Coliseum and the Industry Building.  There  is an underground tunnel leading to the Automotive Building.,Exhibition Buildings
680,0 Exhibition Place,Gouinlock George,1907,,Horticultural Building,"Built over the site of the former ""Crystal Palace"".",Exhibition Buildings
681,0 Exhibition Place,Price G.F.W.,,,Coliseum,,Exhibition Buildings
682,0 Exhibition Place,Kertland D.E.,,,Automotive Building,,Exhibition Buildings
683,0 Exhibition Place,,1912,,Arts and Crafts Buildings,,Exhibition Buildings
684,0 Exhibition Place,Kohl Harry,c1965,,Circular Exhibition House,Circular HOuse built for a c1965 National Home Show situated inside the Coliseum.,Exhibition Buildings
685,0 Exhibition Place,Chapman & Oxley (firm),,,Food Building,Replaced with a new building in 1954.,Exhibition Buildings
686,0 Exhibition Place,"Dickinson Peter
Page & Steele (firm)",1955,,Queen Elizabeth Building,Initially called the Women's Building.,Exhibition Buildings
687,123 Front Street West,Kennedy & Holland (firm),,,Cyclorama,"The Cyclorama was built in 1887 by the Toronto
 Art Company as a showroom for instructional art of the time.",Exhibition Buildings
688,0 King Street West,"Fleming Sanford
Schieber Collingwood",1858,1878,Palace of Industry,"See also:  Crystal Palace in Exhibition Place.  The Palace of Industry was used until 1878, when it was disassembled and rebuilt as the Crystal Palace in the present Exhibition Place.  Most of its original ironwork and some of its plans were utilized.",Exhibition Buildings
689,955 Lake Shore Boulevard West,"Craig Zeidler Strong (firm)
Hough Stansbury Assoc. (firm)
Zeidler Eberhard",1971,,Ontario Place,"Entire site was designed in 1968 by Eberhard Zeidler.  Consists of a number of elements that may be listed separately under the same address (i.e. Ontario Place Forum,  Goh Ohn Bell House,  IMAX Theatre,  Children's Village, etc.)",Exhibition Buildings
690,245 Queens Quay West,,,,Marine Museum (Pier 4),Situated adjacent to the Simcoe Street Slip.  Site of the new Marine Museum [SEE older location at Exhibition Place].  The Pier 4 marine warehouse was built in 1930 for the Tree Line Navigation Company.,Exhibition Buildings
691,3560 Bathurst Street,"Boigon Petroff Shepherd Architects
Diamond A.J. Donald Schmitt",2000,,Baycrest Centre for Geriatric Care,,Extended Care Facilities
692,3560 Bathurst Street,,,,Apotex Centre Baycrest Centre,SEE:  Baycrest Centre for Geriaric Care,Extended Care Facilities
693,55 Belmont Street,Montgomery & Sisam Archts (firm),c1992,,Belmont House,,Extended Care Facilities
694,81 Belmont Street,Langley & Langley (firm),,,Home for Aged Women,,Extended Care Facilities
695,1098 Davenport Road,Markson Jerome,,,Hilltop Acres,,Extended Care Facilities
696,200 Dawes Road,Markson Jerome,1973,,True Davidson Acres,,Extended Care Facilities
697,0 Dunn Avenue,"Darling Frank
Darling & Curry (firm)",1879-1880,late 1970s,Toronto Home for Incurables,"Openined in Dec. 1880.  The Cameron Wing, Designed by Darling & Curry opened in Jan. 1888.  In 1941, the name was changed to the Queen Elizabeth Hospital for Incurables.  The term 'Incurables' was dropped in 1962.  Demolished mid-late 1970s and replaced by modern facilties, completed in 1979.  Part of the original 1879's central entrance forms the gazebo that is on the current hospital grounds.",Extended Care Facilities
698,81 Adelaide Street West,,,,Samuel May & Co.,Manufacturers of Billiard & Pool Tables.  Occupied nos. 81-89 Adelaide Street West.,Factories
699,104 Adelaide Street West,,1885,,Tushingham Building,"Built by Mssrs Tushingham at a cost of $9,000.  Was also the home of Winston's Restaurant.",Factories
700,10 Albert Street,Steele Wm. & Sons. Co.,,,T. Eaton Co. Mail Order Bldg.,10-14 Albert Street.  12-storey building.,Factories
701,0 Amelia Street,,1848,1888-fire,P.R. Lamb Glue & Blacking,,Factories
702,95 Berkeley Street,,1906,,Christie Biscuit Factory,Functioned as the Stables for the Christie Biscuit Factory.,Factories
703,320 Carlaw Avenue,,,,Diament Knitting Mill,Now i-Zone condo / lofts.,Factories
704,30 Chauncey Avenue,,,,McCausland Stained Glass,,Factories
705,0 Christie Street,Graham John,1913,,Ford Motor Co. of Canada Ltd.,"SEE ALSO:  Ford Assembly Buidling, also at Christie and Dupont, by Albert Kahn.",Factories
706,103 Church Street,,,,Fourth and Fifth,Five-storey building at 103-105 Church St.,Factories
707,0 Davenport Road,,,,Davenport Works,Factory complex owned by Canadian General Electric.,Factories
708,300 Davenport Road,,,,Lily Cups Inc.,,Factories
709,41 Dovercourt Road,Kohn Martin,c2001,,Dufflet Pastries,,Factories
710,0 Dufferin Street,Lyle John,1917,,Canadian Aeroplanes Ltd.,,Factories
711,0 Dupont Street,,c1890s,,McMurtry Furniture Factory,,Factories
712,2 Federal Street,,,,,,Factories
713,139 Front Street East,,1871,,Toronto Safeworks,,Factories
714,24 Hayter Street,,,,Hartz Co. Ltd.,,Factories
715,137 King Street East,,c1881,,,,Factories
716,334 King Street East,Herbert Frederick H.,1911,,Aluminium & Crown Stopper Co.,Companion building at nos. 91-93 Parliament Street.,Factories
717,284 King Street West,Frazer William,1915,,Anderson Building,,Factories
718,322 King Street West,Diamond & Myers (firm),varies,,,Originally built for the Eclipse Whitewear Company (an underwear manufacturer).  Dates of building's construction vary in some sources:  Patricia McHugh - 1903;  Douglas Richardson - 1913.,Factories
719,355 King Street West,"Prack Bernard
Prack & Prack (firm)",1927,,Canada Westinghouse,,Factories
720,409 King Street West,Gouinlock George,1904-1905,,Warwick Bros. & Rutter Ltd.,,Factories
721,461 King Street West,Gouinlock & Baker (firm),1901,,Toronto Lithography Co.,Later served as the headquarters for Salada tea.,Factories
722,468 King Street West,Burke Horwood & White (firm),1912,,Samuel & Benjamin Garment,,Factories
723,511 King Street West,Gouinlock George,1893,,,Originally housed the American Watch Case Company.,Factories
724,680 King Street West,,c1885,c1981,,Building slated for demolition utilized as an exhibiton space.,Factories
725,1137 King Street West,,,,Barrymore Custom Furniture,SEE ALSO:  Toronto Carpet Manufacturing (slightly different address in some sources),Factories
726,1179 King Street West,Steele Wm. & Sons. Co.,1899,,Toronto Carpet Manufacturing,,Factories
727,0 Laird Avenue,,c1919,,Canada Wire & Cable Co.,,Factories
728,0 Lake Shore Boulevard West,,c1917,,Goodyear Plant,Closed in 1987 after 70 years.,Factories
729,637 Lake Shore Boulevard West,"Bishop Roy
Bishop & Miller (firm)
Curtner Brown Architects (firm)
Pran Peter
Quadrangle Architects (firm)",1929,,Tip Top Tailor Building,Will be converted into condominium lofts.,Factories
730,0 Lansdowne Avenue,,c1906,,American Standard Factory,,Factories
731,2015 Lawrence Avenue West,Prack & Perrine (firm),,,"Canada Cycle &,Motor Co.",,Factories
732,0 Osler Street,,,,Watt Milling Co.,,Factories
733,0 Parliament Street,,c1843?,,Smith Brothers,Smith Brothers Pioneer Carriage and Wagon Works.  South-west corner of Parliament and Adelaide Street East.,Factories
734,91 Parliament Street,Simpson Henry,1907,,Aluminium & Crown Stopper Co.,,Factories
735,417 Parliament Street,,c1868,,J.G. Gibson Marble Works,,Factories
736,547 Parliament Street,,1906,,,,Factories
737,107 Queen Street East,,1870,,Robertson Bros. Chocolate Factory,Occupied street nos. 107-113 Queen Street East.  SEE ALSO: Queen Richmond Centre (same address),Factories
738,0 Richmond Street West,,1913,,Goodyear Tire & Rubber Co.,,Factories
739,260 Richmond Street West,Feldman J.,1914,,,,Factories
740,0 River Street,,,,General Steel Wares Plant,,Factories
741,0 River Street,,,,Malthouse,"Built I 1867 as a brewery, the 4-storey historic landmark will be converted to condominium lofts.",Factories
742,1000 Roselawn Avenue,,1931,,Coates and Paton Factory,Initially the Patons and Baldwin Ltd. Yarn / dye Factory.  SEE ALSO: Forest Hill Lofts (same address),Factories
743,306 Sackville Street,,,,Peanut Factory,SEE:  Coakwell Close at same address (coverted to condos in late 1980s).,Factories
744,99 Spadina Avenue,KiiA Architecture (firm),1925,,Ninety-nine Spadina,,Factories
745,174 Spadina Avenue,,,,,,Factories
746,241 Spadina Avenue,Steele Wm. & Sons. Co.,1910,,Consolidated Glass Building,,Factories
747,0 Stirling Street,,,,Cowan Cocoa & Chocolate Works,,Factories
748,14 Strachan Avenue,Allward & Gouinlock (firm),1939,1996,Inglis Plate Shop,SEE ALSO:  Inglis Industrial Complex at no. 2 Strachan Ave.,Factories
749,73 Sumach Street,,1890,,Freyseng Cork Factory,"Had a series of additions in 1891, 1893 and 1907 -- all by the same (unknown) architectural firm.",Factories
750,0 Waterfront Area,,,,British Forgings Melting House,,Factories
751,58 Wellington Street West,,,,Currie Neckwear Building,"Starting site of the ""Great Fire"" of Toronto - early evening of April 19, 1904.",Factories
752,30 Booth Avenue,,,,Cinespace Studios,,Film Studios
753,0 Cherry Street,HOK / Urbana Architects (firm),,,Shoot City Complex,,Film Studios
754,142 Adelaide Street West,,,,Fire Department Headquarters,,Fire Stations
755,20 Bartlett Avenue,McCallum Robert,1911,,Firehall No. 24,,Fire Stations
756,132 Bellevue Avenue,,1877-1878,,Firehall No. 8,Rebuilt after a fire (!) in 1973-1974.,Fire Stations
757,0 Berkeley Street,,1859,c1884/85,Fire Station no.4,"Replaced in1885 by a new fire hall, which was replaced in 1905 by a building that was to eventually become the Firehall Theatre.",Fire Stations
758,0 Dundas Street East,,1878,c1950s,Firehall No. 1,,Fire Stations
759,840 Gerrard Street East,Woolnough J.J.,1932,,,,Fire Stations
760,110 Lombard Street,,1886,,Central Fire Hall,,Fire Stations
761,1094 Queen Street East,McCallum Robert,1905-06,,Kew Beach Firehall No.17,,Fire Stations
762,488 Yonge Street,"Grand James
Irving William",1870-1872,,Firehall No.3,"Fire Station No. 3 closed in 1929.  A fire damaged the building in 1939 and only the tower survived.  In 1950, the building under the tower opened as the St. Charles Homestead Restaurant.  It was later known as the St. Charles Tavern, and it closed in 1987.  The tower is historically designated.",Fire Stations
763,77 Avenue Road,Lennox Edward,1913-1914,1977,Wolseley Motor Car Company,"Also known as the ""Conservatory"".  Demolished to make way for the exapnsion of Hazelton Lanes.",Garages
764,1 Adelaide Street East,,,,,,Gardens
765,227 Front Street East,,c1989,,Max Tannenbaum Courtyard,,Gardens
766,115 King Street East,,1981,,Toronto Sculpture Garden,,Gardens
767,100 Queen Street West,,,,Peace Garden,,Gardens
